Pt_W,Outage_Real,Outage_GAN,EC_Real,EC_GAN
0.1,0.9993,0.68094,0.20241654422100785,2.3587652973258346
0.3111111111111111,0.99886,0.54732,0.4857331425012339,3.3305244913100007
0.5222222222222223,0.99498,0.48978,0.723332336520482,3.7849106613549726
0.7333333333333333,0.98588,0.44594,0.9139287345351743,4.156308304303426
0.9444444444444444,0.97178,0.41178,1.0725882897486634,4.407422670998528
1.1555555555555557,0.95134,0.38634,1.226195172633598,4.65192600684119
1.3666666666666667,0.93188,0.37084,1.3442685955859817,4.80954171797345
1.577777777777778,0.91246,0.35148,1.4648628806863215,4.975876242760016
1.788888888888889,0.88858,0.33406,1.582944968454318,5.140683438135774
2.0,0.86538,0.32122,1.6690168556628198,5.247035113800187
