FSO_Attenuation_Visibility_dB,FSO_Attenuation_Cloud_Model_dB,RF_Total_Attenuation_dB
2.0106735,784.2537,131.47923
42.06784,170.87904,123.097015
0.7147576,225.14633,124.21392
2.505585,1226.9373,128.56949
4.96845,2514.6406,132.34706
1.3716661,373.18896,122.15048
1.1210414,303.65726,125.87185
4.858571,1170.4005,133.50755
4.6151614,979.10223,130.56271
3.130321,283.5954,125.91463
5.5036764,678.2859,131.31966
4.2497888,1236.0874,128.09962
0.92156744,168.25346,124.154594
0.65540075,830.1699,125.31569
6.4030395,275.53296,122.176
1.1040101,814.01984,124.010735
11.235528,583.72577,132.52426
2.4567509,279.63898,118.782814
2.211831,387.24942,130.8496
1.4411818,605.579,129.97284
1.9986296,504.31662,123.62473
1.9917562,341.44672,130.71135
1.8759857,809.45544,121.89034
2.7219155,347.23798,131.05836
3.0221977,757.196,131.02213
46.189144,774.9907,126.08545
1.7740593,324.74503,128.80891
4.6683865,367.13083,122.89552
3.5005145,1065.8318,129.36804
5.3003263,1595.054,128.8651
4.3702116,412.5839,121.25724
2.2504659,840.06104,138.20822
4.9350753,1645.3656,132.7966
0.8295617,365.59488,114.504364
3.1423118,830.4388,132.63783
2.1177828,216.85484,122.51051
4.194456,1288.4028,135.24374
80.85545,290.46396,130.24893
2.2211149,842.126,129.60239
1.386803,945.9953,127.059975
0.9325013,247.58482,119.386734
1.1430712,891.1578,127.27337
7.6442575,1156.0454,126.64962
5.9395447,340.89832,131.52055
7.9909587,508.5537,134.9696
1.0190377,442.62375,126.88636
4.669724,715.9165,128.3092
8.298214,521.2921,122.75212
1.8918753,1116.3745,132.03777
30.815893,985.841,131.8823
1.9349691,802.2408,131.57253
2.3481512,326.3708,123.35066
1.965211,214.99379,119.94539
1.7290072,836.5686,121.356636
0.80725485,582.7484,122.764015
462.7366,1359.4597,127.39456
2.7832534,2109.7893,128.17924
6.5942836,302.02234,129.34811
7.5085034,789.6822,134.7797
4.340877,959.22955,131.99063
2.734283,2974.4915,134.2428
5.636042,1202.9419,127.027245
1.6883526,911.35785,127.38162
3.8040233,384.62894,119.984406
0.98241585,955.88696,120.486565
20.83463,444.35028,126.88917
2.9283571,319.50507,128.71065
2.1824334,736.1213,137.1228
3.9136393,322.4037,120.48068
1.5858405,1296.6228,131.07983
1.739583,284.54532,128.06442
2.7620885,450.86612,126.56717
1.8234531,575.10767,133.32298
1.1237584,165.11829,119.51557
4.8950186,1130.3602,128.08328
4.196698,2401.1025,135.01855
2.5858004,1017.03064,122.397
2.4379528,723.9175,130.84259
1.2402143,1053.1442,128.73972
11.753676,993.01306,130.91982
1.4164336,913.3835,126.27946
163.80818,943.4324,126.125824
2.7247162,2192.4604,130.49615
2.275169,626.1395,131.8139
5.676757,610.358,131.01817
5.666653,578.53345,125.78068
8.945704,1324.9196,132.27031
1.9258217,1383.2915,128.0072
0.82833666,660.89026,126.21426
67.662636,399.6072,126.52649
2.767576,1338.763,126.86269
2.877928,262.87634,122.12388
2.2990146,1063.8585,127.201775
9.868743,698.7386,121.5022
5.242796,600.79926,134.01361
1.8750925,471.68356,129.60245
3.8206134,360.73676,119.55167
0.6028666,401.61792,121.94506
17.658638,865.5801,128.14914
0.9050219,737.8463,124.819786
2.7847166,1008.048,125.770805
2.090372,1624.5385,132.49164
150.51999,853.6451,129.00346
0.9433408,1063.6838,120.62745
12.407678,1715.1467,123.77696
2.507113,534.4066,131.93088
2.0607064,334.0317,134.57169
1.478532,901.54535,131.12605
4.3393755,465.62103,126.7335
1.5195798,667.7098,131.52957
3.0522103,1224.0835,121.3797
2.3705895,286.43884,131.90991
79.43583,1442.4039,132.1716
3.443222,1057.6919,128.63037
1.6543655,919.11725,128.1414
8.821959,1365.961,127.533875
3.5792801,993.2895,124.9564
80.30157,322.1922,113.959755
0.8465309,637.35254,122.54257
2.0799258,606.2857,127.05723
1.1043444,342.32455,125.76838
0.7473322,302.0201,83.98506
3.4241116,316.6235,123.02853
0.86734414,488.7634,126.00636
1.7106508,1113.853,128.81577
14.757242,777.3835,128.9812
3.430489,562.06415,129.76189
1.1423981,937.8131,122.04149
1.3633193,1524.461,124.89482
1.2583038,537.8723,121.608986
3.7547631,491.18515,124.924904
2.9340532,381.12363,130.772
1.9340374,921.67487,129.94366
12.11858,73.9415,124.545746
78.21314,931.1868,124.40037
1.4350082,660.80975,129.99731
1.1228429,315.5892,125.769325
1.1512021,829.4903,125.88325
2.691813,1969.2072,131.50261
10.766453,1842.237,128.2156
1.054041,628.3001,124.159256
4.2488084,254.97461,126.188934
3.131567,1024.1753,118.27317
2.1893194,1228.355,129.62637
0.8108001,600.77966,118.61356
16.104156,282.96814,121.16744
8.358245,329.4968,121.75386
5.5937214,184.88493,119.91582
5.0724726,462.034,128.3915
12.1247425,2264.047,127.871895
2.8010595,609.36694,123.29682
2.488063,442.10587,123.61328
24.576181,1661.423,132.58073
3.2576728,2018.1407,127.01171
3.139727,266.37067,122.99217
35.0891,966.6488,129.45735
3.260507,429.0483,127.06108
0.9405766,266.5336,119.68195
1.0462432,1108.2954,121.57524
112.89918,938.69946,130.97032
13.522344,1797.3756,129.39264
5.5858903,1819.9639,129.61304
80.00326,756.27747,124.542534
10.914281,2663.1033,125.422455
1.4949557,1100.7101,129.361
4.118276,1466.063,132.1656
7.4366455,1119.6937,130.92148
5.9584885,1866.8853,126.777306
1.8358331,1050.1069,124.542114
4.57089,599.3665,125.69035
3.1070888,1730.7908,129.81136
5.714565,514.0508,126.829185
0.6076633,474.87997,121.48094
1.7385193,832.8444,128.84088
1.2169673,240.34311,126.11369
1.0649084,261.34802,122.15179
6.0859013,1703.4094,128.36873
5.4846573,379.7896,127.05707
5.45507,1769.5896,133.9551
1.918959,316.62888,122.26934
10.392857,1010.10956,128.10413
81.53857,252.23824,131.76765
2.269917,1986.2386,130.8998
5.12859,670.97064,127.56893
2.214759,742.85114,124.40195
9.433589,1053.5634,129.33916
5.9150968,521.98236,131.66417
2.6008477,310.01538,117.61607
2.0399396,705.38324,123.87386
1.7158095,1696.2937,124.88583
9.80166,592.0678,126.09607
8.466458,517.83185,125.9839
15.533642,370.5413,115.5532
6.949434,1867.0096,132.32416
4.602304,242.82788,123.67392
3.8659835,1232.1407,131.99767
2.7711213,200.88274,126.31546
0.96597534,710.26215,120.5548
1.4667171,194.48672,129.40276
20.176668,1335.7374,121.432175
1.1656876,459.8035,124.57381
19.735817,813.32074,124.393715
22.397766,564.96173,128.73956
10.724256,1296.9216,134.34062
5.8120623,798.0619,129.69258
3.432717,1097.7532,124.9607
27.098587,401.34906,121.44358
1.9595102,733.6106,120.36194
4.137232,437.62747,129.81749
11.460835,1405.8214,130.58823
1.2541271,209.81168,129.03604
74.158875,594.5889,126.439156
1.4471092,488.68585,123.29523
1.8146626,1524.3639,129.76627
1.9963145,1757.6581,134.99709
3.3146877,495.04758,128.19218
4.0370517,1086.3383,124.54919
8.056337,2355.195,127.550354
1.865947,1334.5676,127.17631
2.4812207,857.58887,132.18524
3.1359594,373.68387,125.90661
3.903885,856.8006,130.08777
3.9259949,636.0682,133.77512
12.323734,1329.8916,130.69463
21.603989,459.4631,130.49161
3.1249406,734.7696,130.16899
23.694345,649.60474,131.4553
1.5090182,748.7686,128.68037
266.82022,646.87604,130.94102
1.7932296,771.0825,129.32321
34.08874,1833.0068,130.60342
77.644775,461.74298,131.47162
1.30865,414.39435,127.046555
2.8896945,233.6049,123.79646
1.0825454,211.87764,112.934586
1.4724649,402.60504,115.90203
6.8576756,497.16602,122.77205
4.074468,1290.3252,134.07895
0.5961788,627.1472,119.67664
13.411081,1198.83,125.11517
12.157883,1365.9604,130.4733
2.3730853,680.50775,128.56032
80.85335,1180.8945,127.51308
3.5868046,499.33633,115.231705
75.408394,848.84216,130.18182
0.64879155,365.1088,116.87362
3.7013102,107.50336,122.851814
1.1393518,650.00464,129.00746
1.314007,481.7133,131.26317
14.773591,1468.1919,124.19027
1.8669926,1290.5284,132.42361
1.3231896,945.9492,127.18384
2.5272458,847.32666,128.43759
2.093107,359.0663,129.58981
1.0298324,203.72182,123.34749
1.058812,709.4448,122.083664
4.7281966,1049.6785,134.35352
2.7459586,708.5762,130.08223
4.736369,456.77548,123.5954
24.310528,1479.8479,131.153
5.234278,296.28683,128.13168
