Pt_W,Outage_Real,Outage_GAN,EC_Real,EC_GAN
0.1,0.9993,0.9276,0.20241654422100785,0.6675523304880903
0.3111111111111111,0.99886,0.85502,0.4857331425012339,1.1543268904130255
0.5222222222222223,0.99498,0.79612,0.723332336520482,1.4660466785410373
0.7333333333333333,0.98588,0.76052,0.9139287345351743,1.6700872099085151
0.9444444444444444,0.97178,0.73504,1.0725882897486634,1.8517626437676942
1.1555555555555557,0.95134,0.71008,1.226195172633598,2.0002753706464858
1.3666666666666667,0.93188,0.69576,1.3442685955859817,2.1177122654828957
1.577777777777778,0.91246,0.67722,1.4648628806863215,2.248970081394996
1.788888888888889,0.88858,0.654,1.582944968454318,2.36601478040903
2.0,0.86538,0.6404,1.6690168556628198,2.453310486673991
