Pt_W,Outage_Real_CGAN,EC_Real_CGAN,Outage_GAN_CGAN,EC_GAN_CGAN,Outage_Real_WGAN,EC_Real_WGAN,Outage_GAN_WGAN,EC_GAN_WGAN
0.1,0.9993,0.2024165442210078,0.68094,2.3587652973258346,0.9993,0.2024165442210078,0.9276,0.6675523304880903
0.3111111111111111,0.99886,0.4857331425012339,0.54732,3.3305244913100007,0.99886,0.4857331425012339,0.85502,1.1543268904130255
0.5222222222222223,0.99498,0.723332336520482,0.48978,3.784910661354973,0.99498,0.723332336520482,0.79612,1.466046678541037
0.7333333333333333,0.98588,0.9139287345351744,0.44594,4.156308304303426,0.98588,0.9139287345351744,0.76052,1.6700872099085151
0.9444444444444444,0.97178,1.0725882897486634,0.41178,4.407422670998528,0.97178,1.0725882897486634,0.73504,1.8517626437676944
1.1555555555555557,0.95134,1.226195172633598,0.38634,4.65192600684119,0.95134,1.226195172633598,0.71008,2.0002753706464858
1.3666666666666667,0.93188,1.3442685955859817,0.37084,4.80954171797345,0.93188,1.3442685955859817,0.69576,2.1177122654828957
1.577777777777778,0.91246,1.4648628806863215,0.35148,4.975876242760016,0.91246,1.4648628806863215,0.67722,2.248970081394996
1.788888888888889,0.88858,1.582944968454318,0.33406,5.140683438135774,0.88858,1.582944968454318,0.654,2.36601478040903
2.0,0.86538,1.6690168556628198,0.32122,5.247035113800187,0.86538,1.6690168556628198,0.6404,2.453310486673991
